,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10
71,25.947845,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314
72,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234
73,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134
74,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128
75,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056
76,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453
77,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034
78,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053
79,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103
80,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015
81,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015,25.497156
82,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015,25.497156,25.899636
83,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015,25.497156,25.899636,25.46882
84,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015,25.497156,25.899636,25.46882,26.578101
85,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015,25.497156,25.899636,25.46882,26.578101,25.805484
86,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015,25.497156,25.899636,25.46882,26.578101,25.805484,25.537473
87,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015,25.497156,25.899636,25.46882,26.578101,25.805484,25.537473,24.5349
88,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015,25.497156,25.899636,25.46882,26.578101,25.805484,25.537473,24.5349,24.438078
89,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015,25.497156,25.899636,25.46882,26.578101,25.805484,25.537473,24.5349,24.438078,23.347592
90,25.810453,25.997034,26.141053,24.151103,24.214015,25.497156,25.899636,25.46882,26.578101,25.805484,25.537473,24.5349,24.438078,23.347592,24.496793
91,25.997034,26.141053,24.151103,24.214015,25.497156,25.899636,25.46882,26.578101,25.805484,25.537473,24.5349,24.438078,23.347592,24.496793,23.574379
92,26.141053,24.151103,24.214015,25.497156,25.899636,25.46882,26.578101,25.805484,25.537473,24.5349,24.438078,23.347592,24.496793,23.574379,23.392543
93,24.151103,24.214015,25.497156,25.899636,25.46882,26.578101,25.805484,25.537473,24.5349,24.438078,23.347592,24.496793,23.574379,23.392543,24.296743
94,24.214015,25.497156,25.899636,25.46882,26.578101,25.805484,25.537473,24.5349,24.438078,23.347592,24.496793,23.574379,23.392543,24.296743,23.089097
95,25.497156,25.899636,25.46882,26.578101,25.805484,25.537473,24.5349,24.438078,23.347592,24.496793,23.574379,23.392543,24.296743,23.089097,22.750482
96,25.899636,25.46882,26.578101,25.805484,25.537473,24.5349,24.438078,23.347592,24.496793,23.574379,23.392543,24.296743,23.089097,22.750482,23.423175
97,25.46882,26.578101,25.805484,25.537473,24.5349,24.438078,23.347592,24.496793,23.574379,23.392543,24.296743,23.089097,22.750482,23.423175,21.681826
98,26.578101,25.805484,25.537473,24.5349,24.438078,23.347592,24.496793,23.574379,23.392543,24.296743,23.089097,22.750482,23.423175,21.681826,20.96052
99,25.805484,25.537473,24.5349,24.438078,23.347592,24.496793,23.574379,23.392543,24.296743,23.089097,22.750482,23.423175,21.681826,20.96052,20.151618
100,25.537473,24.5349,24.438078,23.347592,24.496793,23.574379,23.392543,24.296743,23.089097,22.750482,23.423175,21.681826,20.96052,20.151618,20.383876
101,24.5349,24.438078,23.347592,24.496793,23.574379,23.392543,24.296743,23.089097,22.750482,23.423175,21.681826,20.96052,20.151618,20.383876,21.007724
102,24.438078,23.347592,24.496793,23.574379,23.392543,24.296743,23.089097,22.750482,23.423175,21.681826,20.96052,20.151618,20.383876,21.007724,21.173041
103,23.347592,24.496793,23.574379,23.392543,24.296743,23.089097,22.750482,23.423175,21.681826,20.96052,20.151618,20.383876,21.007724,21.173041,20.911534
104,24.496793,23.574379,23.392543,24.296743,23.089097,22.750482,23.423175,21.681826,20.96052,20.151618,20.383876,21.007724,21.173041,20.911534,21.679946
105,23.574379,23.392543,24.296743,23.089097,22.750482,23.423175,21.681826,20.96052,20.151618,20.383876,21.007724,21.173041,20.911534,21.679946,20.453516
106,23.392543,24.296743,23.089097,22.750482,23.423175,21.681826,20.96052,20.151618,20.383876,21.007724,21.173041,20.911534,21.679946,20.453516,20.861836
107,24.296743,23.089097,22.750482,23.423175,21.681826,20.96052,20.151618,20.383876,21.007724,21.173041,20.911534,21.679946,20.453516,20.861836,20.693372
108,23.089097,22.750482,23.423175,21.681826,20.96052,20.151618,20.383876,21.007724,21.173041,20.911534,21.679946,20.453516,20.861836,20.693372,20.273127
109,22.750482,23.423175,21.681826,20.96052,20.151618,20.383876,21.007724,21.173041,20.911534,21.679946,20.453516,20.861836,20.693372,20.273127,21.308544
110,23.423175,21.681826,20.96052,20.151618,20.383876,21.007724,21.173041,20.911534,21.679946,20.453516,20.861836,20.693372,20.273127,21.308544,19.859172
111,21.681826,20.96052,20.151618,20.383876,21.007724,21.173041,20.911534,21.679946,20.453516,20.861836,20.693372,20.273127,21.308544,19.859172,19.869661
112,20.96052,20.151618,20.383876,21.007724,21.173041,20.911534,21.679946,20.453516,20.861836,20.693372,20.273127,21.308544,19.859172,19.869661,19.192633
113,20.151618,20.383876,21.007724,21.173041,20.911534,21.679946,20.453516,20.861836,20.693372,20.273127,21.308544,19.859172,19.869661,19.192633,18.786171
114,20.383876,21.007724,21.173041,20.911534,21.679946,20.453516,20.861836,20.693372,20.273127,21.308544,19.859172,19.869661,19.192633,18.786171,16.876982
115,21.007724,21.173041,20.911534,21.679946,20.453516,20.861836,20.693372,20.273127,21.308544,19.859172,19.869661,19.192633,18.786171,16.876982,17.160394
116,21.173041,20.911534,21.679946,20.453516,20.861836,20.693372,20.273127,21.308544,19.859172,19.869661,19.192633,18.786171,16.876982,17.160394,17.559103
117,20.911534,21.679946,20.453516,20.861836,20.693372,20.273127,21.308544,19.859172,19.869661,19.192633,18.786171,16.876982,17.160394,17.559103,19.094307
118,21.679946,20.453516,20.861836,20.693372,20.273127,21.308544,19.859172,19.869661,19.192633,18.786171,16.876982,17.160394,17.559103,19.094307,20.699902
119,20.453516,20.861836,20.693372,20.273127,21.308544,19.859172,19.869661,19.192633,18.786171,16.876982,17.160394,17.559103,19.094307,20.699902,21.409171
120,20.861836,20.693372,20.273127,21.308544,19.859172,19.869661,19.192633,18.786171,16.876982,17.160394,17.559103,19.094307,20.699902,21.409171,20.225674
121,20.693372,20.273127,21.308544,19.859172,19.869661,19.192633,18.786171,16.876982,17.160394,17.559103,19.094307,20.699902,21.409171,20.225674,19.374026
122,20.273127,21.308544,19.859172,19.869661,19.192633,18.786171,16.876982,17.160394,17.559103,19.094307,20.699902,21.409171,20.225674,19.374026,18.319131
123,21.308544,19.859172,19.869661,19.192633,18.786171,16.876982,17.160394,17.559103,19.094307,20.699902,21.409171,20.225674,19.374026,18.319131,17.656327
124,19.859172,19.869661,19.192633,18.786171,16.876982,17.160394,17.559103,19.094307,20.699902,21.409171,20.225674,19.374026,18.319131,17.656327,17.548724
125,19.869661,19.192633,18.786171,16.876982,17.160394,17.559103,19.094307,20.699902,21.409171,20.225674,19.374026,18.319131,17.656327,17.548724,17.741031
126,19.192633,18.786171,16.876982,17.160394,17.559103,19.094307,20.699902,21.409171,20.225674,19.374026,18.319131,17.656327,17.548724,17.741031,17.014064
127,18.786171,16.876982,17.160394,17.559103,19.094307,20.699902,21.409171,20.225674,19.374026,18.319131,17.656327,17.548724,17.741031,17.014064,18.029134
128,16.876982,17.160394,17.559103,19.094307,20.699902,21.409171,20.225674,19.374026,18.319131,17.656327,17.548724,17.741031,17.014064,18.029134,18.446966
129,17.160394,17.559103,19.094307,20.699902,21.409171,20.225674,19.374026,18.319131,17.656327,17.548724,17.741031,17.014064,18.029134,18.446966,18.450056
130,17.559103,19.094307,20.699902,21.409171,20.225674,19.374026,18.319131,17.656327,17.548724,17.741031,17.014064,18.029134,18.446966,18.450056,17.106907
131,19.094307,20.699902,21.409171,20.225674,19.374026,18.319131,17.656327,17.548724,17.741031,17.014064,18.029134,18.446966,18.450056,17.106907,17.476249
132,20.699902,21.409171,20.225674,19.374026,18.319131,17.656327,17.548724,17.741031,17.014064,18.029134,18.446966,18.450056,17.106907,17.476249,18.526722
133,21.409171,20.225674,19.374026,18.319131,17.656327,17.548724,17.741031,17.014064,18.029134,18.446966,18.450056,17.106907,17.476249,18.526722,18.213902
134,20.225674,19.374026,18.319131,17.656327,17.548724,17.741031,17.014064,18.029134,18.446966,18.450056,17.106907,17.476249,18.526722,18.213902,18.697408
135,19.374026,18.319131,17.656327,17.548724,17.741031,17.014064,18.029134,18.446966,18.450056,17.106907,17.476249,18.526722,18.213902,18.697408,19.123801
136,18.319131,17.656327,17.548724,17.741031,17.014064,18.029134,18.446966,18.450056,17.106907,17.476249,18.526722,18.213902,18.697408,19.123801,18.959715
137,17.656327,17.548724,17.741031,17.014064,18.029134,18.446966,18.450056,17.106907,17.476249,18.526722,18.213902,18.697408,19.123801,18.959715,20.05376
138,17.548724,17.741031,17.014064,18.029134,18.446966,18.450056,17.106907,17.476249,18.526722,18.213902,18.697408,19.123801,18.959715,20.05376,18.76029
139,17.741031,17.014064,18.029134,18.446966,18.450056,17.106907,17.476249,18.526722,18.213902,18.697408,19.123801,18.959715,20.05376,18.76029,18.14932
140,17.014064,18.029134,18.446966,18.450056,17.106907,17.476249,18.526722,18.213902,18.697408,19.123801,18.959715,20.05376,18.76029,18.14932,19.325859
141,18.029134,18.446966,18.450056,17.106907,17.476249,18.526722,18.213902,18.697408,19.123801,18.959715,20.05376,18.76029,18.14932,19.325859,18.303934
142,18.446966,18.450056,17.106907,17.476249,18.526722,18.213902,18.697408,19.123801,18.959715,20.05376,18.76029,18.14932,19.325859,18.303934,18.603927
143,18.450056,17.106907,17.476249,18.526722,18.213902,18.697408,19.123801,18.959715,20.05376,18.76029,18.14932,19.325859,18.303934,18.603927,19.619071
144,17.106907,17.476249,18.526722,18.213902,18.697408,19.123801,18.959715,20.05376,18.76029,18.14932,19.325859,18.303934,18.603927,19.619071,20.110132
145,17.476249,18.526722,18.213902,18.697408,19.123801,18.959715,20.05376,18.76029,18.14932,19.325859,18.303934,18.603927,19.619071,20.110132,21.473776
146,18.526722,18.213902,18.697408,19.123801,18.959715,20.05376,18.76029,18.14932,19.325859,18.303934,18.603927,19.619071,20.110132,21.473776,20.49364
147,18.213902,18.697408,19.123801,18.959715,20.05376,18.76029,18.14932,19.325859,18.303934,18.603927,19.619071,20.110132,21.473776,20.49364,17.508571
148,18.697408,19.123801,18.959715,20.05376,18.76029,18.14932,19.325859,18.303934,18.603927,19.619071,20.110132,21.473776,20.49364,17.508571,18.62839
149,19.123801,18.959715,20.05376,18.76029,18.14932,19.325859,18.303934,18.603927,19.619071,20.110132,21.473776,20.49364,17.508571,18.62839,18.466337
150,18.959715,20.05376,18.76029,18.14932,19.325859,18.303934,18.603927,19.619071,20.110132,21.473776,20.49364,17.508571,18.62839,18.466337,20.166813
151,20.05376,18.76029,18.14932,19.325859,18.303934,18.603927,19.619071,20.110132,21.473776,20.49364,17.508571,18.62839,18.466337,20.166813,21.492907
152,18.76029,18.14932,19.325859,18.303934,18.603927,19.619071,20.110132,21.473776,20.49364,17.508571,18.62839,18.466337,20.166813,21.492907,24.287571
153,18.14932,19.325859,18.303934,18.603927,19.619071,20.110132,21.473776,20.49364,17.508571,18.62839,18.466337,20.166813,21.492907,24.287571,21.504643
154,19.325859,18.303934,18.603927,19.619071,20.110132,21.473776,20.49364,17.508571,18.62839,18.466337,20.166813,21.492907,24.287571,21.504643,24.875285
155,18.303934,18.603927,19.619071,20.110132,21.473776,20.49364,17.508571,18.62839,18.466337,20.166813,21.492907,24.287571,21.504643,24.875285,23.685221
156,18.603927,19.619071,20.110132,21.473776,20.49364,17.508571,18.62839,18.466337,20.166813,21.492907,24.287571,21.504643,24.875285,23.685221,21.208172
157,19.619071,20.110132,21.473776,20.49364,17.508571,18.62839,18.466337,20.166813,21.492907,24.287571,21.504643,24.875285,23.685221,21.208172,21.251403
158,20.110132,21.473776,20.49364,17.508571,18.62839,18.466337,20.166813,21.492907,24.287571,21.504643,24.875285,23.685221,21.208172,21.251403,20.811667
159,21.473776,20.49364,17.508571,18.62839,18.466337,20.166813,21.492907,24.287571,21.504643,24.875285,23.685221,21.208172,21.251403,20.811667,21.442429
160,20.49364,17.508571,18.62839,18.466337,20.166813,21.492907,24.287571,21.504643,24.875285,23.685221,21.208172,21.251403,20.811667,21.442429,23.812328
